,val
287,2.887737e-10
288,6.557448e-08
289,5.8545817e-09
290,7.693438e-10
291,0.91938573
292,3.0050976e-06
293,2.205172e-08
294,4.433675e-08
295,0.0015368589
296,1.2363506e-11
297,5.146247e-11
298,1.7515535e-07
299,1.12579815e-11
300,1.2710806e-09
301,3.6338735e-10
302,2.4041455e-09
303,0.97383356
304,8.182788e-09
305,2.3085147e-09
306,5.4035842e-09
307,2.0432557e-11
308,1.9214346e-08
309,1.7089357e-09
310,1.6947515e-08
311,7.2102255e-11
312,2.997328e-11
313,4.3010764e-09
314,2.8017782e-06
315,3.7112804e-05
316,6.3193667e-10
317,0.8603796
318,7.047132e-09
319,2.1527735e-07
320,0.40359852
321,8.828737e-13
322,6.492224e-07
323,0.9999138
324,3.7675986e-07
325,8.655798e-12
326,4.098312e-09
327,6.85489e-09
328,3.1182117e-09
329,1.6895415e-09
330,1.4061329e-11
331,2.263554e-12
332,0.99998057
333,0.5118134
334,1.8331997e-07
335,0.99997485
336,7.0171434e-12
337,6.849688e-09
338,2.0878787e-08
339,6.4662165e-10
340,0.0011928208
341,6.943068e-12
342,3.057671e-10
343,4.2817185e-09
344,2.9884566e-07
345,0.013011155
346,3.5249557e-09
347,1.915282e-10
348,3.8686273e-11
349,1.912122e-09
350,7.9060404e-11
351,1.4211303e-10
352,5.0023378e-11
353,3.8924145e-07
354,1.8183477e-09
355,3.232735e-11
356,1.4016585e-11
357,2.808322e-11
358,5.7239533e-05
359,2.3496577e-10
360,0.0002560345
361,4.1703027e-10
362,3.6801444e-11
363,0.0025165274
364,8.918117e-09
365,1.8337316e-09
366,1.2709237e-08
367,5.4108057e-08
368,1.3830931e-10
369,1.1069182e-11
370,3.6255534e-09
371,5.5378757e-11
372,0.892258
373,2.8362739e-09
374,1.1125799e-08
375,8.942969e-09
376,5.9643277e-09
377,2.7585584e-10
378,9.4135535e-09
379,2.1310337e-11
380,7.183873e-10
381,2.0850626e-05
382,0.950452
383,6.0613172e-12
384,0.8671943
385,8.506449e-09
386,3.0883918e-09
387,3.1646714e-09
388,1.5861175e-05
389,9.628926e-09
390,3.4073089e-09
391,1.813516e-09
392,1.5667007e-09
393,3.6898772e-08
394,7.1883037e-09
395,5.7844554e-12
396,1.5952808e-09
397,8.705258e-11
398,3.776298e-09
399,2.267018e-07
400,8.038327e-11
401,3.2056192e-05
402,3.4770777e-09
403,1.3147329e-05
404,3.2035685e-10
405,3.3638121e-09
406,5.4732374e-09
407,1.1357728e-08
408,9.956976e-06
409,2.1049353e-09
410,4.651167e-09
411,2.2094484e-09
412,1.4018283e-09
413,0.34171394
414,5.84757e-07
415,2.7488745e-09
416,2.6388312e-09
417,6.7673844e-12
418,2.0719112e-08
419,1.5487692e-10
420,0.99959844
421,3.1027212e-09
422,9.114501e-09
423,3.8941515e-08
424,7.011364e-08
425,0.000121233075
426,2.8943279e-09
427,8.468098e-09
428,2.151695e-06
429,4.1226316e-09
430,3.2993178e-08
431,3.7470495e-11
432,3.2626137e-09
433,1.7923468e-09
434,6.081917e-09
435,5.2860793e-12
436,1.2260136e-11
437,0.00036272043
438,5.605118e-12
439,3.327791e-11
440,2.119754e-09
441,5.4129213e-08
442,5.7210666e-05
443,6.852664e-10
444,0.0003552489
445,5.740854e-08
446,5.455459e-07
447,0.012825718
448,3.5861705e-10
449,1.8936209e-11
450,1.1515151e-12
451,7.200733e-10
452,1.3680908e-10
453,2.6867901e-05
454,2.468553e-07
455,7.330178e-09
456,1.6791784e-08
457,7.0673223e-09
458,0.0021298798
459,4.6565057e-11
460,1.0797329e-11
461,7.1947396e-12
462,9.054424e-10
463,0.27590436
464,1.7243838e-05
465,8.565597e-09
466,1.4798502e-08
467,6.233637e-11
468,2.659566e-11
469,1.1391382e-07
470,3.3895224e-09
